Department,Hourly Rate 
Information Technology,$77.21
Information Technology,$77.21
Information Technology,$77.15
Information Technology,$77.15
Information Technology,$77.15
Information Technology,$77.15
Information Technology,$77.15
Information Technology,$77.03
Seattle Police Department,$76.84
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Seattle Police Department,$76.82
Information Technology,$76.72
Information Technology,$76.72
Information Technology,$76.72
Intergovernmental Relations,$76.72
Intergovernmental Relations,$76.72
Intergovernmental Relations,$76.72
Information Technology,$76.7
Information Technology,$76.7
Information Technology,$76.7
Law Department,$76.67
Law Department,$76.67
Law Department,$76.67
Law Department,$76.67
Seattle Police Department,$76.66
Information Technology,$76.65
Information Technology,$76.62
Information Technology,$76.6
Information Technology,$76.6
Information Technology,$76.6
Information Technology,$76.6
Information Technology,$76.6
Information Technology,$76.6
Information Technology,$76.53
Information Technology,$76.47
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
Seattle Police Department,$76.46
